customer_key,customer_id,customer_name,gender,birth_date,loyalty_tier,customer_segment,province,city,registered_date
243,CUST-0243,Eka Halim,Male,1991-10-01,Regular,Professional,Jawa Barat,Bekasi,2022-11-07
244,CUST-0244,Putra Susanto,Male,1977-02-05,Silver,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2023-12-21
245,CUST-0245,Putra Permana,Female,1995-02-08,Gold,Student,Jawa Barat,Bekasi,2023-09-10
246,CUST-0246,Gita Siregar,Female,1984-11-02,Regular,Professional,Bali,Denpasar,2024-10-20
247,CUST-0247,Yuni Saputra,Female,2004-06-05,Silver,Professional,Bali,Denpasar,2024-08-22
248,CUST-0248,Citra Pratama,Male,1983-04-02,Platinum,Gadget Enthusiast,Bali,Denpasar,2024-11-03
249,CUST-0249,Joko Siregar,Female,1977-11-18,Regular,Student,Banten,Tangerang Selatan,2024-11-13
250,CUST-0250,Gita Wijaya,Female,1993-11-25,Silver,Professional,Bali,Badung,2022-04-29
251,CUST-0251,Hana Saputra,Female,1994-10-02,Regular,Professional,Banten,Tangerang,2022-01-24
252,CUST-0252,Fajar Gunawan,Female,1980-06-05,Silver,Student,Jawa Timur,Sidoarjo,2022-03-02
253,CUST-0253,Lina Halim,Male,1983-12-19,Silver,SMB,Jawa Timur,Sidoarjo,2024-01-08
254,CUST-0254,Budi Gunawan,Female,1980-05-25,Regular,SMB,Bali,Denpasar,2022-01-06
255,CUST-0255,Budi Pratama,Female,1986-07-05,Gold,Gadget Enthusiast,Jawa Barat,Bandung,2023-04-05
256,CUST-0256,Lina Santoso,Female,2001-02-19,Silver,Student,Banten,Tangerang Selatan,2023-01-03
257,CUST-0257,Hana Siregar,Male,2003-08-28,Regular,SMB,DKI Jakarta,Jakarta Utara,2024-07-24
258,CUST-0258,Adi Permana,Female,1998-10-08,Silver,Gadget Enthusiast,Jawa Barat,Depok,2023-02-05
259,CUST-0259,Vina Santoso,Female,1975-04-18,Platinum,Student,Jawa Barat,Bandung,2024-02-10
260,CUST-0260,Joko Saputra,Female,1990-01-05,Regular,Professional,Jawa Barat,Bekasi,2024-11-30
261,CUST-0261,Putra Permana,Male,1991-03-21,Regular,SMB,Banten,Tangerang,2022-05-08
262,CUST-0262,Putra Wijaya,Female,2002-06-26,Regular,Professional,Jawa Barat,Depok,2022-06-02
263,CUST-0263,Gita Wijaya,Male,1978-03-15,Regular,SMB,Bali,Denpasar,2024-01-04
264,CUST-0264,Gita Gunawan,Female,2002-02-03,Gold,SMB,Jawa Timur,Malang,2022-03-24
265,CUST-0265,Gita Permana,Male,2005-06-13,Silver,Family,Jawa Barat,Bandung,2022-12-23
266,CUST-0266,Adi Halim,Male,1989-02-26,Regular,Student,Banten,Tangerang,2023-04-01
267,CUST-0267,Eka Santoso,Male,1993-10-09,Platinum,Professional,Banten,Tangerang Selatan,2024-06-27
268,CUST-0268,Eka Saputra,Male,2005-08-02,Gold,Gadget Enthusiast,Jawa Timur,Surabaya,2024-10-13
269,CUST-0269,Adi Halim,Male,1986-04-06,Regular,Professional,Sumatera Utara,Deli Serdang,2022-03-12
270,CUST-0270,Yuni Susanto,Female,1990-07-18,Regular,Gadget Enthusiast,Bali,Denpasar,2022-10-09
271,CUST-0271,Putra Santoso,Male,1987-12-12,Regular,SMB,Sumatera Utara,Medan,2024-10-25
272,CUST-0272,Lina Halim,Male,1985-10-08,Gold,Gadget Enthusiast,Jawa Timur,Surabaya,2024-12-20
273,CUST-0273,Maya Susanto,Male,1982-11-08,Regular,Professional,Jawa Barat,Bekasi,2022-12-27
274,CUST-0274,Hana Susanto,Female,2004-10-01,Gold,Gadget Enthusiast,Jawa Timur,Sidoarjo,2025-01-15
275,CUST-0275,Joko Wijaya,Male,1976-04-20,Silver,Student,Banten,Tangerang,2023-11-11
276,CUST-0276,Yuni Santoso,Male,2004-06-02,Silver,Professional,Jawa Barat,Depok,2022-08-16
277,CUST-0277,Tono Permana,Female,1993-02-11,Regular,Professional,DKI Jakarta,Jakarta Barat,2024-06-13
278,CUST-0278,Sari Permana,Male,1996-10-27,Regular,Family,Jawa Barat,Depok,2022-09-18
279,CUST-0279,Fajar Pratama,Male,1980-10-11,Gold,Professional,Sumatera Utara,Deli Serdang,2023-11-10
280,CUST-0280,Citra Santoso,Male,1995-02-27,Regular,Family,Jawa Timur,Malang,2023-03-06
281,CUST-0281,Hana Saputra,Male,1998-01-02,Silver,Professional,Jawa Timur,Malang,2024-04-27
282,CUST-0282,Sari Halim,Female,1978-08-26,Regular,Student,Jawa Timur,Sidoarjo,2022-03-10
283,CUST-0283,Joko Pratama,Male,1977-06-06,Regular,Student,Jawa Timur,Malang,2025-01-25
284,CUST-0284,Citra Permana,Male,1988-11-06,Regular,Family,Bali,Badung,2023-02-25
285,CUST-0285,Gita Halim,Female,1984-04-04,Silver,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2022-11-11
286,CUST-0286,Budi Permana,Male,1984-11-21,Regular,Student,DKI Jakarta,Jakarta Utara,2023-02-28
287,CUST-0287,Fajar Lestari,Male,1984-07-16,Regular,SMB,DKI Jakarta,Jakarta Utara,2024-03-04
288,CUST-0288,Fajar Permana,Male,1989-01-09,Regular,Family,Banten,Tangerang Selatan,2022-05-07
289,CUST-0289,Eka Saputra,Female,1999-10-08,Gold,SMB,DKI Jakarta,Jakarta Barat,2024-05-07
290,CUST-0290,Vina Gunawan,Female,1984-02-13,Silver,SMB,Bali,Denpasar,2022-10-29
291,CUST-0291,Dewi Gunawan,Male,2000-04-05,Regular,Gadget Enthusiast,Jawa Barat,Bekasi,2023-02-18
292,CUST-0292,Eka Susanto,Male,1977-07-18,Gold,SMB,Jawa Timur,Malang,2024-12-06
293,CUST-0293,Putra Saputra,Male,1993-10-19,Gold,SMB,Banten,Tangerang,2022-07-26
294,CUST-0294,Joko Siregar,Female,1987-11-16,Regular,Gadget Enthusiast,Jawa Timur,Malang,2022-10-22
295,CUST-0295,Yuni Susanto,Male,1987-06-23,Silver,Family,Sumatera Utara,Deli Serdang,2024-02-02
296,CUST-0296,Adi Permana,Female,2001-08-28,Regular,Gadget Enthusiast,Jawa Timur,Malang,2023-10-20
297,CUST-0297,Indra Halim,Male,1989-04-27,Gold,Student,Bali,Denpasar,2023-09-30
298,CUST-0298,Tono Halim,Male,1981-04-27,Regular,Student,Jawa Barat,Bandung,2024-01-09
299,CUST-0299,Gita Lestari,Female,1995-02-22,Regular,SMB,Jawa Timur,Malang,2024-07-02
300,CUST-0300,Fajar Gunawan,Female,1980-05-24,Regular,Student,Bali,Badung,2022-11-30
301,CUST-0301,Wahyu Santoso,Male,1983-11-14,Gold,Student,Jawa Barat,Bekasi,2024-08-28
302,CUST-0302,Eka Wijaya,Male,1983-10-26,Silver,Family,Bali,Denpasar,2024-05-17
303,CUST-0303,Nadia Permana,Male,1989-05-22,Silver,Student,Banten,Tangerang Selatan,2024-11-13
304,CUST-0304,Maya Siregar,Female,1996-02-16,Platinum,Family,Sumatera Utara,Deli Serdang,2023-07-22
305,CUST-0305,Indra Lestari,Male,2003-01-26,Silver,Family,Jawa Barat,Bekasi,2023-06-16
306,CUST-0306,Putra Halim,Male,1985-12-23,Gold,Family,Banten,Tangerang,2024-11-04
307,CUST-0307,Joko Wijaya,Female,1978-08-05,Silver,SMB,Sumatera Utara,Medan,2023-01-10
308,CUST-0308,Lina Saputra,Male,1998-05-14,Regular,Family,Jawa Barat,Depok,2024-08-07
309,CUST-0309,Dewi Gunawan,Female,2003-04-17,Silver,Gadget Enthusiast,DKI Jakarta,Jakarta Pusat,2022-04-21
310,CUST-0310,Eka Wijaya,Female,1993-08-05,Gold,Gadget Enthusiast,Jawa Barat,Depok,2023-11-13
311,CUST-0311,Fajar Permana,Male,1989-05-07,Silver,Student,Sumatera Utara,Medan,2022-09-23
312,CUST-0312,Yuni Halim,Female,1988-08-13,Silver,Family,Sumatera Utara,Deli Serdang,2022-01-29
313,CUST-0313,Lina Siregar,Male,1995-12-08,Regular,Student,Jawa Barat,Bandung,2024-02-25
314,CUST-0314,Tono Susanto,Male,2001-01-10,Regular,SMB,Jawa Timur,Surabaya,2024-12-09
315,CUST-0315,Lina Halim,Female,2003-08-12,Regular,Gadget Enthusiast,Sumatera Utara,Medan,2022-02-09
316,CUST-0316,Hana Santoso,Male,1998-01-19,Regular,Student,Sumatera Utara,Medan,2024-02-08
317,CUST-0317,Indra Siregar,Male,1996-02-21,Regular,Student,Bali,Denpasar,2024-05-03
318,CUST-0318,Rani Halim,Female,1997-03-07,Regular,Student,DKI Jakarta,Jakarta Barat,2024-12-01
319,CUST-0319,Indra Susanto,Female,2001-02-17,Regular,Student,Bali,Denpasar,2024-10-16
320,CUST-0320,Gita Susanto,Male,1986-12-14,Regular,Gadget Enthusiast,Jawa Barat,Depok,2023-03-02
321,CUST-0321,Sari Permana,Male,1996-02-04,Regular,Student,Jawa Barat,Bandung,2024-11-13
322,CUST-0322,Citra Saputra,Male,1989-05-09,Regular,Professional,Jawa Timur,Sidoarjo,2022-03-22
323,CUST-0323,Joko Permana,Female,1998-02-04,Regular,Professional,Sumatera Utara,Deli Serdang,2022-12-16
324,CUST-0324,Lina Permana,Male,1986-06-06,Regular,Gadget Enthusiast,Banten,Tangerang Selatan,2023-07-11
325,CUST-0325,Nadia Gunawan,Male,1979-12-24,Regular,SMB,Banten,Tangerang,2024-09-15
326,CUST-0326,Wahyu Gunawan,Female,1994-01-28,Gold,Student,Jawa Barat,Bogor,2024-04-22
327,CUST-0327,Rani Pratama,Female,1975-12-28,Platinum,Family,DKI Jakarta,Jakarta Barat,2024-11-29
328,CUST-0328,Tono Susanto,Male,1990-06-22,Gold,SMB,DKI Jakarta,Jakarta Utara,2022-04-22
329,CUST-0329,Adi Wijaya,Female,2002-03-03,Regular,Family,Bali,Badung,2023-07-24
330,CUST-0330,Budi Siregar,Female,2001-04-03,Gold,Gadget Enthusiast,Jawa Barat,Bogor,2022-06-30
331,CUST-0331,Sari Gunawan,Female,1998-11-01,Regular,SMB,Jawa Timur,Surabaya,2025-01-29
332,CUST-0332,Adi Saputra,Male,1995-11-15,Regular,Student,Bali,Badung,2023-04-02
333,CUST-0333,Rani Permana,Female,1997-08-04,Regular,Family,Bali,Badung,2023-08-21
334,CUST-0334,Vina Siregar,Male,1976-03-16,Regular,SMB,Jawa Timur,Sidoarjo,2023-02-06
335,CUST-0335,Gita Saputra,Female,2001-04-23,Silver,Student,Banten,Tangerang,2022-09-10
336,CUST-0336,Rani Gunawan,Female,1975-09-24,Gold,SMB,Sumatera Utara,Medan,2024-09-16
337,CUST-0337,Tono Wijaya,Male,1978-07-22,Silver,Gadget Enthusiast,Sumatera Utara,Medan,2024-05-07
338,CUST-0338,Yuni Santoso,Female,1984-08-26,Regular,SMB,Jawa Timur,Malang,2023-09-05
339,CUST-0339,Vina Permana,Male,1981-10-23,Platinum,Professional,Sumatera Utara,Medan,2024-10-28
340,CUST-0340,Vina Permana,Female,1992-08-19,Gold,SMB,Sumatera Utara,Medan,2022-08-07
341,CUST-0341,Adi Halim,Male,1981-05-25,Platinum,Family,Jawa Barat,Bandung,2022-10-27
342,CUST-0342,Budi Lestari,Female,2001-08-04,Silver,Family,Jawa Barat,Bandung,2022-04-07
343,CUST-0343,Nadia Halim,Male,1975-12-09,Regular,Student,Banten,Tangerang Selatan,2023-01-18
344,CUST-0344,Fajar Siregar,Male,1988-05-18,Regular,Family,DKI Jakarta,Jakarta Utara,2022-01-12
345,CUST-0345,Lina Gunawan,Male,1979-06-20,Silver,SMB,Sumatera Utara,Medan,2025-01-31
346,CUST-0346,Maya Saputra,Male,2005-03-17,Regular,SMB,Sumatera Utara,Deli Serdang,2024-04-06
347,CUST-0347,Citra Permana,Female,1985-06-10,Platinum,Student,Jawa Barat,Bekasi,2022-08-23
348,CUST-0348,Maya Gunawan,Male,1996-06-13,Regular,SMB,Jawa Barat,Bekasi,2023-08-03
349,CUST-0349,Adi Siregar,Female,1990-01-10,Silver,Student,Jawa Timur,Sidoarjo,2022-12-09
350,CUST-0350,Vina Siregar,Male,1996-11-25,Gold,Professional,DKI Jakarta,Jakarta Pusat,2025-01-06
351,CUST-0351,Putra Saputra,Male,1989-12-11,Regular,Professional,Sumatera Utara,Medan,2023-05-31
352,CUST-0352,Vina Saputra,Female,1988-07-15,Regular,Student,Bali,Denpasar,2024-03-08
353,CUST-0353,Dewi Siregar,Male,1997-02-12,Gold,Family,DKI Jakarta,Jakarta Pusat,2022-06-27
354,CUST-0354,Joko Gunawan,Male,1990-03-18,Silver,SMB,Banten,Tangerang Selatan,2023-08-28
355,CUST-0355,Eka Lestari,Male,1992-09-05,Regular,SMB,Sumatera Utara,Deli Serdang,2024-03-18
356,CUST-0356,Vina Siregar,Male,1998-12-24,Regular,SMB,DKI Jakarta,Jakarta Barat,2022-10-19
357,CUST-0357,Fajar Wijaya,Male,1978-03-22,Gold,SMB,Jawa Barat,Depok,2024-08-02
358,CUST-0358,Vina Saputra,Male,1983-02-07,Regular,Professional,Jawa Timur,Sidoarjo,2022-07-24
359,CUST-0359,Joko Susanto,Female,1990-08-11,Silver,Family,DKI Jakarta,Jakarta Selatan,2023-10-10
360,CUST-0360,Putra Wijaya,Male,2000-04-23,Gold,Professional,DKI Jakarta,Jakarta Barat,2023-11-11
361,CUST-0361,Sari Gunawan,Female,1990-09-04,Gold,Professional,Banten,Tangerang Selatan,2025-01-08
362,CUST-0362,Gita Lestari,Male,2003-01-28,Gold,SMB,Sumatera Utara,Medan,2023-06-18
363,CUST-0363,Vina Siregar,Female,1987-04-25,Regular,SMB,Banten,Tangerang,2024-11-11
364,CUST-0364,Citra Halim,Male,1996-04-28,Silver,Professional,Jawa Timur,Sidoarjo,2024-07-02
365,CUST-0365,Fajar Wijaya,Female,2005-06-02,Regular,Family,Bali,Denpasar,2023-04-25
366,CUST-0366,Budi Santoso,Female,1990-08-02,Regular,SMB,Bali,Badung,2023-07-15
367,CUST-0367,Indra Susanto,Female,1995-07-12,Regular,Professional,Bali,Denpasar,2024-11-23
368,CUST-0368,Nadia Permana,Female,2003-10-01,Regular,Student,Jawa Timur,Malang,2024-11-19
369,CUST-0369,Indra Santoso,Male,1986-10-23,Silver,Gadget Enthusiast,Jawa Barat,Bekasi,2023-11-08
370,CUST-0370,Dewi Gunawan,Female,1981-10-06,Regular,Professional,Sumatera Utara,Deli Serdang,2022-11-26
371,CUST-0371,Eka Siregar,Male,1980-05-06,Gold,Family,DKI Jakarta,Jakarta Selatan,2022-06-25
372,CUST-0372,Gita Gunawan,Female,1980-04-27,Silver,SMB,Bali,Badung,2023-06-26
373,CUST-0373,Fajar Permana,Male,1987-07-05,Regular,SMB,Banten,Tangerang,2024-05-09
374,CUST-0374,Eka Susanto,Female,2003-10-20,Silver,Professional,DKI Jakarta,Jakarta Selatan,2025-01-09
375,CUST-0375,Adi Halim,Female,2002-01-23,Regular,Gadget Enthusiast,Bali,Badung,2024-02-20
376,CUST-0376,Maya Susanto,Female,1979-05-16,Gold,Student,Sumatera Utara,Medan,2023-08-04
377,CUST-0377,Yuni Siregar,Male,1975-12-24,Silver,Student,Banten,Tangerang Selatan,2024-11-30
378,CUST-0378,Adi Halim,Female,1988-06-04,Silver,Family,Sumatera Utara,Medan,2023-06-20
379,CUST-0379,Vina Halim,Female,1996-07-25,Silver,SMB,Bali,Badung,2024-09-15
380,CUST-0380,Fajar Permana,Female,1984-10-12,Gold,Professional,Bali,Badung,2022-07-25
381,CUST-0381,Gita Siregar,Male,1980-07-21,Gold,Gadget Enthusiast,Banten,Tangerang Selatan,2022-06-30
382,CUST-0382,Citra Lestari,Male,1994-01-24,Silver,SMB,Jawa Barat,Depok,2023-08-10
383,CUST-0383,Yuni Pratama,Female,1975-04-28,Regular,SMB,Jawa Barat,Bogor,2024-11-11
384,CUST-0384,Tono Santoso,Male,1986-04-21,Platinum,Gadget Enthusiast,Bali,Denpasar,2023-12-25
385,CUST-0385,Nadia Halim,Male,1998-12-03,Silver,SMB,Bali,Denpasar,2023-12-14
386,CUST-0386,Maya Lestari,Female,2004-07-19,Regular,SMB,Jawa Barat,Bekasi,2022-08-07
387,CUST-0387,Vina Saputra,Female,2005-02-26,Silver,SMB,Bali,Badung,2022-02-26
388,CUST-0388,Sari Saputra,Female,1995-04-22,Gold,Gadget Enthusiast,Jawa Timur,Surabaya,2023-12-25
389,CUST-0389,Tono Siregar,Male,1984-02-13,Regular,Professional,DKI Jakarta,Jakarta Barat,2024-09-02
390,CUST-0390,Lina Permana,Male,2005-12-22,Silver,Professional,Jawa Barat,Depok,2023-05-11
391,CUST-0391,Indra Santoso,Male,2001-10-12,Gold,Gadget Enthusiast,Jawa Barat,Bekasi,2022-01-14
392,CUST-0392,Vina Pratama,Female,1990-10-28,Regular,SMB,Banten,Tangerang Selatan,2023-07-28
393,CUST-0393,Nadia Santoso,Male,1991-07-16,Regular,Professional,Bali,Denpasar,2024-07-25
394,CUST-0394,Dewi Siregar,Male,1975-11-07,Regular,Family,Banten,Tangerang Selatan,2023-01-19
395,CUST-0395,Vina Lestari,Female,2005-10-11,Silver,Professional,Jawa Barat,Depok,2024-05-08
396,CUST-0396,Maya Permana,Female,1980-10-05,Gold,Family,Banten,Tangerang Selatan,2023-04-28
397,CUST-0397,Vina Halim,Male,2000-12-05,Regular,Professional,Banten,Tangerang,2024-11-24
398,CUST-0398,Vina Permana,Female,1992-10-02,Silver,Student,Banten,Tangerang Selatan,2023-03-18
399,CUST-0399,Indra Gunawan,Female,1998-06-09,Silver,Family,Sumatera Utara,Medan,2023-12-06
400,CUST-0400,Adi Halim,Male,1993-10-21,Regular,SMB,DKI Jakarta,Jakarta Barat,2024-09-25
401,CUST-0401,Rani Saputra,Female,1995-03-28,Silver,SMB,Banten,Tangerang Selatan,2024-04-08
402,CUST-0402,Citra Saputra,Male,1985-06-21,Regular,Gadget Enthusiast,Jawa Barat,Depok,2024-01-14
403,CUST-0403,Wahyu Siregar,Male,1980-01-05,Silver,Student,Banten,Tangerang Selatan,2023-03-08
404,CUST-0404,Fajar Halim,Male,2004-08-18,Gold,SMB,DKI Jakarta,Jakarta Pusat,2022-06-20
405,CUST-0405,Dewi Lestari,Male,1995-07-10,Silver,Gadget Enthusiast,Bali,Denpasar,2022-09-16
406,CUST-0406,Eka Siregar,Male,1996-06-28,Gold,Gadget Enthusiast,Jawa Barat,Bandung,2025-01-12
407,CUST-0407,Indra Siregar,Male,1993-10-15,Silver,SMB,Banten,Tangerang,2023-09-27
408,CUST-0408,Maya Gunawan,Male,1989-05-12,Regular,Student,Bali,Denpasar,2022-01-01
409,CUST-0409,Tono Wijaya,Female,1992-01-23,Platinum,Gadget Enthusiast,Jawa Timur,Malang,2023-09-06
410,CUST-0410,Adi Halim,Male,2000-01-18,Regular,SMB,Jawa Timur,Sidoarjo,2024-06-14
411,CUST-0411,Nadia Santoso,Female,1982-05-03,Regular,SMB,Jawa Barat,Bogor,2023-07-05
412,CUST-0412,Putra Santoso,Male,1984-02-21,Silver,Gadget Enthusiast,DKI Jakarta,Jakarta Selatan,2023-01-20
413,CUST-0413,Lina Pratama,Male,1980-02-10,Silver,Student,Jawa Barat,Bandung,2023-04-22
414,CUST-0414,Citra Wijaya,Male,1985-07-10,Silver,Student,DKI Jakarta,Jakarta Utara,2023-11-08
415,CUST-0415,Citra Wijaya,Female,1977-09-16,Gold,Family,DKI Jakarta,Jakarta Barat,2024-02-21
416,CUST-0416,Adi Saputra,Female,1999-08-08,Regular,Student,Sumatera Utara,Medan,2024-12-03
417,CUST-0417,Gita Gunawan,Female,1980-11-24,Gold,SMB,Banten,Tangerang Selatan,2022-09-08
418,CUST-0418,Indra Gunawan,Male,1986-01-28,Platinum,Professional,Sumatera Utara,Deli Serdang,2024-06-08
419,CUST-0419,Lina Pratama,Male,1987-04-01,Silver,Gadget Enthusiast,Jawa Barat,Depok,2022-11-14
420,CUST-0420,Maya Saputra,Female,1977-11-20,Regular,Professional,Jawa Barat,Bekasi,2025-01-03
421,CUST-0421,Dewi Wijaya,Female,1992-11-25,Silver,Student,Banten,Tangerang,2024-02-13
422,CUST-0422,Maya Wijaya,Female,1997-08-18,Regular,Professional,Jawa Timur,Surabaya,2025-01-18
423,CUST-0423,Maya Permana,Female,2002-10-28,Regular,Professional,Sumatera Utara,Deli Serdang,2024-07-09
424,CUST-0424,Joko Lestari,Female,1975-11-17,Gold,SMB,Bali,Badung,2023-05-05
425,CUST-0425,Lina Saputra,Male,1991-11-16,Regular,Family,Sumatera Utara,Deli Serdang,2022-08-15
426,CUST-0426,Dewi Siregar,Male,2001-03-06,Regular,Gadget Enthusiast,Sumatera Utara,Medan,2023-01-28
427,CUST-0427,Dewi Pratama,Female,1991-10-23,Regular,Professional,Bali,Badung,2022-05-26
428,CUST-0428,Adi Santoso,Male,1989-11-02,Gold,Student,Sumatera Utara,Deli Serdang,2023-06-29
429,CUST-0429,Tono Pratama,Female,1977-04-17,Silver,SMB,Sumatera Utara,Medan,2024-02-29
430,CUST-0430,Gita Santoso,Male,1992-12-18,Gold,Professional,Bali,Denpasar,2023-01-05
431,CUST-0431,Vina Halim,Male,1992-10-15,Gold,SMB,Bali,Badung,2023-10-27
432,CUST-0432,Maya Halim,Female,1994-04-19,Regular,SMB,Sumatera Utara,Deli Serdang,2023-06-05
433,CUST-0433,Maya Gunawan,Male,1998-01-10,Silver,Family,Banten,Tangerang Selatan,2022-01-14
434,CUST-0434,Joko Santoso,Male,1999-12-27,Regular,Family,Jawa Barat,Depok,2022-11-16
435,CUST-0435,Eka Lestari,Male,1982-05-26,Silver,SMB,Jawa Timur,Sidoarjo,2023-03-22
436,CUST-0436,Citra Permana,Female,2001-12-23,Silver,Family,Banten,Tangerang,2022-03-18
437,CUST-0437,Wahyu Halim,Female,1986-07-14,Silver,SMB,DKI Jakarta,Jakarta Pusat,2022-01-24
438,CUST-0438,Nadia Pratama,Male,1985-09-19,Silver,Professional,Jawa Timur,Sidoarjo,2022-11-10
439,CUST-0439,Budi Halim,Male,1988-05-26,Regular,Student,Banten,Tangerang,2024-09-01
440,CUST-0440,Wahyu Pratama,Female,1977-07-17,Gold,Gadget Enthusiast,Bali,Badung,2025-02-19
441,CUST-0441,Gita Gunawan,Male,1982-02-09,Regular,SMB,Banten,Tangerang,2022-07-03
442,CUST-0442,Dewi Halim,Female,1981-06-12,Platinum,SMB,Banten,Tangerang Selatan,2024-06-24
443,CUST-0443,Yuni Wijaya,Male,1981-11-12,Silver,Professional,Banten,Tangerang,2022-10-30
444,CUST-0444,Joko Pratama,Male,1984-08-16,Regular,SMB,Jawa Timur,Sidoarjo,2023-03-10
445,CUST-0445,Gita Siregar,Female,1994-12-05,Regular,SMB,Bali,Badung,2022-03-31
446,CUST-0446,Indra Wijaya,Male,2000-12-20,Regular,Student,DKI Jakarta,Jakarta Barat,2022-05-17
447,CUST-0447,Nadia Lestari,Male,1975-05-28,Platinum,SMB,Sumatera Utara,Deli Serdang,2022-07-23
448,CUST-0448,Lina Gunawan,Male,1981-09-15,Regular,SMB,Bali,Denpasar,2023-09-17
449,CUST-0449,Lina Gunawan,Male,1986-11-12,Platinum,SMB,Banten,Tangerang,2023-07-19
450,CUST-0450,Budi Lestari,Female,1982-03-11,Silver,Student,Banten,Tangerang,2024-02-22
451,CUST-0451,Tono Susanto,Female,1982-10-05,Regular,Professional,Sumatera Utara,Medan,2023-02-28
452,CUST-0452,Eka Susanto,Male,1984-12-23,Regular,Professional,Bali,Denpasar,2022-11-20
453,CUST-0453,Lina Saputra,Male,1985-03-24,Platinum,Family,Bali,Denpasar,2024-06-26
454,CUST-0454,Indra Wijaya,Male,1980-01-25,Silver,SMB,Jawa Barat,Bandung,2023-04-18
455,CUST-0455,Yuni Santoso,Female,1977-12-25,Silver,SMB,Jawa Barat,Bandung,2024-08-18
456,CUST-0456,Maya Wijaya,Female,1979-03-07,Regular,Student,Banten,Tangerang Selatan,2023-07-07
457,CUST-0457,Putra Santoso,Male,1977-03-15,Regular,Student,Sumatera Utara,Medan,2024-02-19
458,CUST-0458,Lina Halim,Male,1989-08-27,Gold,Professional,Bali,Denpasar,2024-11-28
459,CUST-0459,Vina Halim,Female,1991-11-02,Regular,Family,Sumatera Utara,Medan,2023-08-09
460,CUST-0460,Rani Wijaya,Male,1997-09-05,Regular,SMB,Banten,Tangerang Selatan,2022-08-20
461,CUST-0461,Fajar Susanto,Female,1988-06-15,Regular,Professional,Sumatera Utara,Medan,2024-07-20
462,CUST-0462,Citra Lestari,Male,1997-12-04,Silver,Family,Jawa Timur,Sidoarjo,2022-06-24
463,CUST-0463,Tono Halim,Female,1992-07-02,Gold,SMB,Sumatera Utara,Medan,2022-11-04
464,CUST-0464,Fajar Wijaya,Female,1984-05-24,Silver,Student,Jawa Barat,Bandung,2022-09-27
465,CUST-0465,Gita Pratama,Male,1989-08-28,Silver,Gadget Enthusiast,Bali,Badung,2023-05-03
466,CUST-0466,Gita Susanto,Female,1988-08-03,Gold,Family,Sumatera Utara,Deli Serdang,2025-02-15
467,CUST-0467,Gita Pratama,Male,1995-06-02,Silver,SMB,Jawa Barat,Bekasi,2023-09-04
468,CUST-0468,Lina Saputra,Female,1980-03-22,Platinum,SMB,DKI Jakarta,Jakarta Pusat,2024-01-08
469,CUST-0469,Budi Saputra,Female,2003-07-27,Regular,Professional,Jawa Timur,Malang,2022-09-07
470,CUST-0470,Indra Permana,Male,1997-04-20,Silver,SMB,Bali,Badung,2022-06-29
471,CUST-0471,Sari Susanto,Female,1994-06-09,Silver,Gadget Enthusiast,Sumatera Utara,Deli Serdang,2024-10-05
472,CUST-0472,Fajar Susanto,Male,1975-02-01,Silver,Professional,Jawa Barat,Depok,2024-04-29
473,CUST-0473,Putra Pratama,Male,1975-11-07,Regular,Student,Jawa Timur,Malang,2023-09-23
474,CUST-0474,Joko Siregar,Male,1978-11-11,Silver,SMB,Bali,Badung,2022-03-01
475,CUST-0475,Fajar Santoso,Female,2004-08-26,Regular,Professional,Jawa Timur,Malang,2024-08-01
476,CUST-0476,Vina Permana,Male,2001-09-10,Silver,Student,Banten,Tangerang Selatan,2023-03-03
477,CUST-0477,Wahyu Permana,Male,1983-01-11,Silver,Professional,Jawa Timur,Surabaya,2024-03-08
478,CUST-0478,Fajar Susanto,Female,1997-01-09,Silver,Professional,DKI Jakarta,Jakarta Barat,2024-02-01
479,CUST-0479,Rani Lestari,Male,1978-06-26,Silver,Gadget Enthusiast,Jawa Barat,Depok,2024-10-21
480,CUST-0480,Eka Santoso,Female,1999-06-05,Regular,Student,Jawa Timur,Malang,2024-07-29
481,CUST-0481,Nadia Siregar,Female,2004-01-22,Regular,Student,DKI Jakarta,Jakarta Pusat,2022-07-31
482,CUST-0482,Tono Lestari,Male,1985-04-07,Silver,Gadget Enthusiast,DKI Jakarta,Jakarta Barat,2022-08-29
483,CUST-0483,Indra Wijaya,Male,1975-10-18,Regular,Family,Jawa Barat,Depok,2025-01-30
484,CUST-0484,Lina Lestari,Male,1980-02-10,Regular,Gadget Enthusiast,Jawa Barat,Depok,2022-04-14
485,CUST-0485,Dewi Halim,Female,1987-03-23,Silver,Family,DKI Jakarta,Jakarta Pusat,2023-11-12
486,CUST-0486,Gita Siregar,Male,1977-12-15,Regular,Gadget Enthusiast,DKI Jakarta,Jakarta Utara,2024-08-21
487,CUST-0487,Hana Santoso,Female,1987-03-23,Silver,Student,Jawa Barat,Depok,2024-08-31
488,CUST-0488,Dewi Permana,Male,1984-06-20,Silver,Gadget Enthusiast,Banten,Tangerang Selatan,2022-08-08
489,CUST-0489,Lina Siregar,Female,1992-08-13,Regular,Professional,Sumatera Utara,Medan,2025-01-27
